x,y,z
3.300000,-3.000000,
3.400000,-3.000000,
3.500000,-3.000000,
-3.500000,-2.900000,
-3.400000,-2.900000,
-3.300000,-2.900000,
-3.200000,-2.900000,
-3.100000,-2.900000,
-3.000000,-2.900000,
-2.900000,-2.900000,
-2.800000,-2.900000,
-2.700000,-2.900000,
-2.600000,-2.900000,
-2.500000,-2.900000,
-2.400000,-2.900000,
-2.300000,-2.900000,
-2.200000,-2.900000,
-2.100000,-2.900000,
-2.000000,-2.900000,
-1.900000,-2.900000,
-1.800000,-2.900000,
-1.700000,-2.900000,
-1.600000,-2.900000,
-1.500000,-2.900000,
-1.400000,-2.900000,
-1.300000,-2.900000,
-1.200000,-2.900000,
-1.100000,-2.900000,
-1.000000,-2.900000,
-0.900000,-2.900000,
-0.800000,-2.900000,
-0.700000,-2.900000,-1.386970
-0.600000,-2.900000,-0.961706
-0.500000,-2.900000,-0.748157
-0.400000,-2.900000,-0.591301
-0.300000,-2.900000,1.034735
-0.200000,-2.900000,1.279698
-0.100000,-2.900000,1.458922
0.000000,-2.900000,1.602858
0.100000,-2.900000,1.723313
0.200000,-2.900000,1.826364
0.300000,-2.900000,1.915628
0.400000,-2.900000,1.918333
0.500000,-2.900000,1.894730
0.600000,-2.900000,1.865476
0.700000,-2.900000,1.830301
0.800000,-2.900000,1.788854
0.900000,-2.900000,1.740690
1.000000,-2.900000,1.685230
1.100000,-2.900000,1.621727
1.200000,-2.900000,1.549193
1.300000,-2.900000,1.466288
1.400000,-2.900000,1.371131
1.500000,-2.900000,1.260952
1.600000,-2.900000,1.131371
1.700000,-2.900000,0.974679
1.800000,-2.900000,0.774597
1.900000,-2.900000,0.479583
2.000000,-2.900000,
2.100000,-2.900000,
2.200000,-2.900000,
2.300000,-2.900000,
2.400000,-2.900000,
2.500000,-2.900000,
2.600000,-2.900000,
2.700000,-2.900000,
2.800000,-2.900000,
2.900000,-2.900000,
3.000000,-2.900000,
3.100000,-2.900000,
3.200000,-2.900000,
3.300000,-2.900000,
3.400000,-2.900000,
3.500000,-2.900000,
-3.500000,-2.800000,
-3.400000,-2.800000,
